"title,""description"""
"Series 6 Ep 5 How to fish Rottnest Islands Part 1,""Ryan and Steve go for a fish around Rottnest Island"""
"Series 6 Ep 4 Mackerel Islands Sailfish,""Ryan and Steve get into some Sailfish action at the Mackerel Islands"""
"Series 6 Ep 4 mackerel islands Giant Trevally's,"""""
"Series 6 Ep 3 Dunsborough Dhufish,""Steve and Ryan are in Dunsborough to target WA Dhufish"""
"Series 6 Ep 3 Cockburn King George Whiting,""Steve and Ryan head out to Cockburn Sound for some great King George Whiting ."""
"Series 6 Ep 2 Kalbarri Bottom Fishing,""Steve and Ryan head north in the hunt for big Giant Trevally's"""
"Series 6 Ep 2 Kalbarri Tailor,""Please don't do this unless its safe to do so ...."""
"Series 6 Ep 1 Part 2 Margaret River Whiting,""Steve catches up with JACKO  ( XXXX ) for a little fish in Margaret River"""
"Series 6 Ep1 Part 1 Abrohlos Islands Dhufish,""Ryan and Steve tell all about catching Dhufish"""
"Series 5 Ep 18 Its all about Jigging,"""""
"Series 5 Ep 17 Outtakes,""Sometimes its not easy"""
"Series 5 Ep 17 Pilbara,""Steve is in the Pilbara fishing for cobia and what ever comes his way"""
"Series 5 Ep16 Broome Black Jew Fish,""Steve and Ryan are in Broome chasing the infamous Black Jew Fish"""
"Series 5 Ep 16 Upper swan river,""Steve and Ryan hit the upper reaches of the Swan River hunting for Bream"""
"Series 5 Ep 15 Trolling Broome,""Steve and Ryan head to Broome for a bit of trolling fun"""
"Series 5 Ep 15 Swan river secrets,""Steve heads out on the swan river and shows you all his fishing spots"""
"Series 5 Ep 14  Wymdham,""Ryan and Steve are still up North in Wymdham chasing Barramundi"""
"Series 5 Ep 14 Hairy Dog part 2,""Ryan and Steve  are still at Hairy Dogs camp"""
"Series 5 Ep 13 Crocs and Hairy Dog,""Steve and Ryan head to the Ord river to catchup with Hairy Dog and lots of crocs"""
"Series 5 Ep 13 Casting Tips,""Steve goes through some technique's on better casting"""
"Series 5 Ep 12 Abrolhos Islands,""Well the Abrolhos Islands would have to be one of Australia's best fishing locations. Check out Steve and Ryan going nuts at the Abrolhos"""
"Series 5 Ep 11 Derby,""Steve and Ryan a in Derby hunting Barramundi"""
"Series 5 Ep 10 Part 2 NZ Trout Fishing,""The Guys head to NZ for a trip of a lifetime. In this episode Ryan and Steve get into some trout fishing"""
"Series 5 Ep 10 Part 1 Rockingham Squid,""Steve and Ryan are out squiding in Rockingham"""
"Series 5 Ep 9 Part 2 Abrohlos Islands,""Abrohlos Islands are some of the best fishing grounds in WA here is just a sample"""
"Series 5 Ep 9 Part 1 South of Moore River Tailor,""Ryan takes Steve to his secret tailoe spot south of Moore Rive and get into tailor on poppers"""
"Series 5 Ep 8 Part 2 Broome,"""""
"Fishing Broome,"" Fishing WA Series 5 Ep 8 Part 1"""
"Steve and Ryan head to Broome for some triple tail action,"""""
"Freo Swan Flathead,"" Fishing WA Series 5 Ep 7 Part 2"""
"Ryan Takes Jacko down to the Swan River for some summer flathead fun,"""""
"Lucky Bay Land Based Tailor ,"" Fishing WA Series 5 Ep 7 Part 1"""
"Today Steve takes Ryan to Lucky Bay Kalbarri for some landbased tailor action.,"""""
"Abrolhos Islands Fishing WA Series 5 Ep6 Part 2,""Steve and Ryan head out to the Abrolhos Islands for some shallow fishing"""
"Big Kalbarri Tailor Fishing WA Series 5 Ep6 Part 1,""Steve take Ryan back to the scene of the mayhems in Kalbarri to get into the tailor action again"""
"Cockburn pink snapper,"" fishing WA Series 5 Ep5"""
"Ryan takes Steve out for more Pink Snapper fishing in the Cockburn Sound. This episode is a more in-depth show on how to catch them,"""""
"Maylands Bream fishing ,"" Fishing WA Series 5 Ep4 Part 2"""
"Steve goes with Ryan to Maylands to tell everybody about his jellybean fishing theory,"""""
"Exmouth Fishing,"" Fishing WA Series 5 Ep4 Part 1"""
"Ryan takes Steve out fishing in Exmouth,"""""
"Warren River Redfin,"" Fishing WA Series 5 Ep3 Part 2"""
"Ryan and Steve head to Pemberton for some Redfin Fishing,"""""
"Rottnest Islands Fishing,"" Fishing WA Series 5 Ep3 Part 1"""
"Steve and Ryan head off to Rottnest Islands to tackle the chicken run,"""""
"Yanchep offshore Fishing,"" Fishing WA Series 5 Ep 2 Part 2"""
"Steve and Ryan head out of Yanchep to the Gemini wreak for some hard fighting Samson fish,"""""
"Freo North Mole Fremantle Fishing,"" Fishing WA Series 5 Ep 2 Part 1"""
"Steve and Ryan head to Fremantle for a bit of fishing fun,"""""
"Exmouth Landbased Fishing,"" Fishing WA Series 5 Ep 1 Part 2"""
"Steve and Ryan head north to Exmouth for some landbased fishing,"""""
"Fremantle Tailor on poppers ,"" Fishing WA Series 5 Ep1 part 1"""
"Steve takes Ryan out on his favorite tailor spot,"""""
"Fishing WA Series 3 Ep14 Full Show,""Fishing WA Series 3 Ep14 Full Show"""
"Fishing WA Series 3 Ep 13 Full Show,""Fishing WA Series 3 Ep 13 Full Show"""
"Fishing WA Series 3 Ep 12 Full Show,""Fishing WA Series 3 Ep 12 Full Show"""
"Fishing WA Series 3 Ep 11 Full Show,""Fishing WA Series 3 Ep 11 Full Show"""
"Cocos Islands Giant Trevally's,"" Fishing WA Series 4 Ep 18"""
"Steve is in the Cocos Islands hooking into Giant Trevally's at night off the local jetty,"""""
"Fishing WA Series 3 Ep 10 Full Show,""fishing WA Series 3 ep 10 full show"""
"Perth Deep Sea,""  Fishing WA Series 4 Ep 17 Perth Deep sea"""
"Perth deep sea fishing,"""""
"King George Whiting and Perth Dhufish Part 2 , Fishing WA Series 4 Ep 16 Part 2,""King George Whiting and Perth Dhufish Part 2 , Fishing WA Series 4 Ep 16 Part 2"","""""
"Perth Dhufish,"" Fishing WA Series 4 Ep 16 Part 1 Perth"""
"Steve heads out on  a charter boat to get into Dhufish action,"""""
"Cocos Islands Fishing ,"" Fishing WA Series 4 Ep 15 Part 2"""
"Steve is in the Cocos Islands fishing the flats,"""""
"Fishing WA Series 3 Ep 9 Full Show,""Fishing WA Series 3 Ep 9 Full Show"""
"Mindarie Samson Fish ,"" Fishing WA Series 4 Ep 15 Part 1"""
"Ryan takes Steve out from Mindarie to catch Samson Fish of Fly,"""""
"East Fremantle Whiting at night ,"" Fishing WA Series 4 Ep 14 Part 1"""
"Steve tags along with Ryan and Steve to East Fremantle to catch a feed of Whiting at night,"""""
"Kimberley Freshwater Cove,"" Fishing WA Series 4 Ep 13 Part 2"""
"Steve is with Peter Tucker at his camp at Freshwater cove getting into some sunset action.,"""""
"Fishing WA Series 3 Ep 8 Full Show,""Yanchep Lagoon, August bottom fishing"","""""
"Swan River Point Walter Fishing WA Series 4 Ep 13 Part 1,""Steve and Ira show just how easy it is to catch fish at Point Walter"""
"Fishing WA Series 3 Ep 7 Full Show,""Steve is in the North West trying everything he can"""
"Fishing Marker BuoysSeries,"" Fishing WA  4 Ep 12 Part 2 Marker Buoys"""
"Steve in the North and is having a hard time so he has a fall back plan,"""""
"Fremantle drift baiting ,"" Fishing WA Series 4 Ep 12 Part 1"""
"Steve heads out to Fremantle to Nick Hocking to do a bit of drift baiting,"""""
"Fishing WA Series 3 Ep 6 Full Show,""Steve shows Harry his secret tailor spot"""
"Faraway Bay,"" Fishing WA Series 4 Ep 11 Part 2"""
"Steve Heads to the very North of WA for some of the best scenic trip you can do,"""""
"Fishing WA Series 3 Ep 5 Full Show,""Steve is in Denmark doing some land based fishing for Herring"""
"Fishing WA Series 3 Ep 4 Full Show,""Esperance 4X4 Fishing"""
"Peter Tucker Freashwater Cove,"" Fishing WA Series 4 Ep 11 Part 1"""
"Steve Takes a trip North to spend time with Peter Tucker and his camp at Freashwater Cove,"""""
"Pilbara Light Tackle Fishing ,"" Fishing WA Series 4 Ep 10 Part 3"""
"Pilbara Light Tackle Fishing,"""""
"Gnaraloo Drift Baiting ,"" Fishing WA Series 4 Ep 10 Part 2"""
"Steve is in Gnaraloo Bay to do some drift baiting,"""""
"Perth Reef Tailor Fishing Series 4 Ep 10 Part 1,""Steve heads out to do some local Tailor fishing"""
"Cockburn Sound Pink Snapper on Jigs ,"" Fishing WA Series 4 Ep 9 Part 2"""
"Ryan Takes Steve out into the sound to teach him how to catch Pink Snapper on Jigs,"""""
"South West Blackwood River Bream ,"" Fishing WA Series 4 Ep 9 Part 1"""
"Steve heads down south to the Blackwood River to get into some of the best Bream WA has to offer,"""""
"Coral Bay ,"" Fishing WA Series 4 Ep 8 Part 2"""
"Steve is up in Coral Bay again targeting the awesome reef fish it has to offer,"""""
"Perth FADs ,"" Fishing WA Series 4 Ep 8 Part 1"""
"Ryan takes Steve out to the FADs off Perth for some great Mahi Mahi action,"""""
"Honeymoon Cove Madness, Fishing WA Series 4 Ep 7,""Steve heads up to Honeymoon Cover, Point Samson to catch up with Peter Tucker for some madness"","""""
"Cockburn Sound Pink Snapper,"" Fishing WA Series 4 Ep 6 Part 2"""
"Steve heads out into the Cockburn Sound to learn from the Master Pink Snapper catcher Ryan Thipthorp,"""""
"Cockburn Sound / Parmelia Bank , Squid and Whiting, Fishing WA Series 4 Ep 6 part 1,""Steve heads out from his favourite spot, Cockburn Sound / Parmelia Bank ,to target Squid and Whiting"","""""
"How to Smoke and cook Spanish Mackerel,""Get out your smoker because this little recipe will make your mouth water"""
"Gnaraloo Redfish ,"" Fishing WA Series 4 Ep 5 Part 2"""
"Steve in Gnaraloo hunting for Redfish on Jigs,"""""
"Swan River Big Winter Bream ,"" Fishing WA Series 4 Ep 5 Part 1"""
"Steve chases big Winter Bream at Perth Yacht clubs on the Swan River with soft plastics,"""""
"Light Tackle fishing ,"" Fishing WA Series 4 Ep 4 Part 2"""
"Steve heads North to catch up with Peter Tucker to do some ligh tackle fishing which is always fun up North.,"""""
"East Fremantle Flathead ,"" Fishing WA Series 4 Ep 4 Part 1"""
"Steve drags out Tommo from the Ch9 sports team for a bit of Flathead bashing in East Fremantle,"""""
"Oyster Creek Carnarvon Fishing WA Series 4 Ep 3 Part 2,""Steve heads North to Carnarvon's Oyster Creek for some fun."""
"Mandurah Murray River ,"" Fishing WA Series 4 Ep 3 Part 1"""
"Steve goes to Mandurah for some Murray River fishing with some great surprises,"""""
"Hillarys Rock Wall Fishing WA Series 4 Ep 2 Part 2,""Hillarys Rock Wall Fishing"""
"Augusta Salmon fishing WA Series 4 Ep 2 Part 1,""Steve in Augusta trying his luck at catching Salmon"""
"Point Samson Cobia, Fishing WA Series 4 Ep 1 Part 2 Point Samson Cobia,""point samson cobra, Fishing WA"","""""
"Perth Barrack St Jetty,"" Fishing WA Series 4 Ep 1 Part 1"""
"Steve and Ira check out the Barrack St Jetty for some Black Bream,"""""
"North West Aquarium Series 3 Ep 18 Part 1,""Ian goes fishing with Peter Tucker to a place called the aquarium"""
"Fishing WA Series 3 Ep 3 Full Show,""Gemini Wreck"""
"Giggles,"" Fishing WA Series 3 Ep 17 Part 3"""
"Giggles,"""""
"Swan River flathead,"" Fishing WA Series 3 Ep 17 Part 2"""
"Steve and Kurt go to the swan River in Claremont to try out some new stuff on Flathead,"""""
"Fishing WA Series 3 Ep 2 Full Show,""Coral bay Land based fishing"""
"Kalbarri Reef Fishing,"" Fishing WA Series 3 Ep 17 Part 1"""
"Steve heads out with Old Mate Dan from Kalbarri for a bottom drop with Kalbarri Explorer,"""""
"Exmouth Fishing,"" Fishing WA Series 3 Ep 16 Part 3"""
"Steve and Ian head off to Exmouth for some awesome fishing,"""""
"Fremantle fishing ,"" Fishing WA Series 3 Ep 16 Part 2"""
"Steve heads to Fremantle Harbour  for some back to basics fishing,"""""
"Unreel Adventures ,"" Fishing WA Series 3 Ep 16 Part 1"""
"Steve and Ian hunt for long Tail Tuna,"""""
"Montebello Islands soft plastics ,"" Fishing WA Series 3 Ep 15 Part 2"""
"Montebello Islands soft plastics,"""""
"buccaneer archipelago ,"" fishing WA Series 3 Ep 15 Part 1"""
"Steve and Ian are in the buccaneer archipelago living the dream,"""""
"Augusta Whiting ,"" Fishing WA Series 3 Ep 14 Part 3"""
"Steve is in Augusta getting lessons from a whiting master,"""""
"Fremantle Swan River Flathead ,"" Fishing WA Series 3 Ep 14 Part 2"""
"Steve goes to Fremantle to catch flathead in the Swan River,"""""
"Cape Leveque Fishing WA Series 3 Ep 14 Part 1,""Cape Leveque"""
"Coral Bay Monster Marlin  Fishing WA Series 3 Ep 13 Part 2,""Steve and Ian are still in Coral Bay on the Epic fishing for monster Marlin"""
"Coral Bay Fishing WA Series 3 Ep 13 Part 1,""Steve and Ian are in Coral Bay for an Epic fishing trip"""
"Perth Herring How to catch fishing WA Series 3 Ep 12,""Steve shows how to catch Herring off Perth rocks"""
"Don't do this by yourself ,"" Kalbarri Tailor """
" Fishing WA Series 3 Ep 12,""Kalbarri would probably have the Best tailor fishing in Australia."""
"Fishing Broome,"" Fishing WA Series 3 Ep 11 Part 2"""
"Fishing Broome,"""""
"Broome Time Fishing ,"" Fishing WA Series 3 Ep 11 Part 1"""
"Ian takes Steve out and shows him the ropes on how to fish Broome,"""""
"Denmark Landbased Fishing,"" Fishing WA Series 3 Ep 10 Part 3"""
"Denmark Landbased Fishing,"""""
"King George Whiting ,"" Parmelia Bank"""
" Fishing WA Series 3 Ep 10 Part 2,""Steve shows Harry his King George Whiting spot at Parmelia Bank."""
"Swan River Fishing ,"" Fishing WA Series 3 Ep 10 Part 1"""
"Steve jumps in the tinny on the Swan River to get into some Bream fishing,"""""
"Unreel Adventure , Unreel Charters , Fishing WA Series 3 Ep 9 Full Show,""Unreel Adventure , Unreel Charters , Fishing WA Series 3 Ep 9 Full Show"","""""
"Augusta Red Snapper / Nanagi Fishing WA Series 3 Ep 8 Part 3,""Steve heads to the South West and shows how to catch Nanagi in August just a short distance from shore."""
"Unreel Charters Series 3 Ep 8 Part 2,""Fishing with Unreel Charters is one of the best things to do in the North"""
"Perth Yanchep Lagoon tailor ,"" Fishing WA Series 3 Ep 8 Part 1"""
"Steve loves his Tailor and shows his secret Yanchep Tailor spot,"""""
"They say there no fish in Port Hedland,"" Fishing WA Series 3 Ep 7 Part 2"""
"Steve get all the inside info on fishing Port Hedland,"""""
"Dampier Manta Rays and cobia,"" Fishing WA  Series 3 Ep 7 Part 1"""
"Where there are Manta Rays there will be Cobia and a lot of fun,"""""
"Albany Kalgan River Bream and Mulloway,"" Fishing WA Series 3 Ep 6 Part 2"""
"Steve travels to Albany with Kurt Blanksby to catch Bream in the Kalgan River and get surprised by the Mulloway,"""""
"Perth Tailor Secrets ,"" Fishing WA Series 3 Ep 6 Part 1"""
"Steve takes Harry out for some tailor fishing and gives out a few of his secrets,"""""
"Denmark Herring how to ,"" Fishing WA Series 3 Ep 5"""
"Steve and the ever dashing Harry :) are in Denmark to catch Herring,"""""
"Winter break Point Samson ,"" Fishing WA Series 3 Ep 5 Part 1"""
"Steve and Ian head north to Point Samson for their winter break .... and some good fishing,"""""
"Duke of Orleans Bay Esperance , Fishing WA Series 3 Ep 4 Part 2,""Duke of Orleans Bay , Steve goes hunting for nanagi ."","""""
"4x4 fishing Esperance Fishing WA Series 3 Ep 4 Part 1,""4x4 fishing Esperance, Steve heads to Esperance for some salmon actions"","""""
"Heli Fishing ,"" Fishing WA Series 3 Ep 3 Part 2"""
"Heli Fishing,"""""
"Fishing Perth Gemini Wreck ,"" Fishing WA Series 3 Ep 3 Part 1"""
"Steve and Ian head out the one of Perth's favorite fishing grounds. The Gemini Wreck and get smashed by Samson fish.,"""""
"Carnarvon Bernie Islands Tuna ,"" Fishing WA Series 3 Ep 2 Part 3"""
"Carnarvon Bernie Islands Tuna,"""""
"Coral Bay Blue Marlin ,"" Fishing WA Series 3 Ep 2 Part 2"""
"Steve and Ian are still in Coral Bay but this time Ian is going all out to catch a Marlin,"""""
"Coral Bay land based fishing,"" Fishing WA   Series 3 Ep2 Part 1d"""
"Coral Bay land based fishing,"""""
"Highlights and outtakes Series 2 Ep 19,""Highlights and outtakes"""
"Monster Barramundi  Fishing WA Series 2 Ep 18 Part 3,""Steve and Ian in the Kimberley to catch a big Barramundi"""
"5Kg Tailor Shark Bay Series 2 Ep 18 Part 2,""Shark Bay Tailor Carnavon Creek"""
"Shark Bay Pink Snapper Fishing WA Series 2 Ep 18 Part 1,""Steve heads back to Shark Bay for some Pink Snapper action"""
"Crocodiles and Alligators Great Escape Fishing WA Series 2 Ep 17,""Ian and Steve are in the Kimberley catching some great fish while also catching up with Malcolm Douglas is Broome"""
"Broome Trippel tail Fishing WA Series 2 Ep 16B Full Show,""Broome Trippel tail Fishing WA Series 2 Ep 16B Full Show"""
"Kimberley Barramundi Magic Fishing WA Series 2 Ep 16 Part 1full Episode,""Steve and Ian are in the Kimberley for some big fish Action"""
"Biggest Tailor you probably ever see Fishing WA  Series 2 Ep 15 Part 2 Quobba Station Tailor,""Quobba Station Tailor"""
"Dirk Hartog Islands cobia,"" macks and more Fishing WA Series 2 Ep 15 Part 1 Dirk Hartog Island"""
"Steve goes out to Dirk Hartog Islands for some of WA's best fishing,"""""
"Mandurah Dhufish going off ,"" Fishing WA series 2 Ep 14"""
"Steve heads out of mandurah to get into Dhufish,"""""
"Fishing Kalbarri river ,"" Mangrove Jacks"""
" Bream,"" Fishing WA  Series 2 Ep 13 Part 2"""
"Steve gets some local knowledge on how to catch fish in the Murchison River,"""""
"Fishing Kalbarri Duhfish,""Balchin"""
"Sambo Fishing WA Series 2 Ep 13 Part1,""Steve is in Kalbarri showing how to catch the Duhfish and lots more"""
"Awesome Montebello Islands Fishing WA Series 2 Ep 12 Part 1,""Steve and Ian go to the Montebello Islands where the fishing is always awesome"""
"Local Perth Beach Fishing Fishing WA Series 2 Ep 12 Part 2,""Steve hits the local Perth Beaches to show how to catch Herring and whiting"""
"Monkey Mia Shark Bay Pink Snapper Fishing Western Australia Series 2 Ep 11 Part 2,""Steve is in Monkey Mia to catch the very tasty Pink Snapper"""
"Fishing the snags and dinosaur Queenies Fishing Western Australia Series 2 Ep 11 Part 1,""Ian and Steve are stuffed after this effort"""
"Permit on fly Fishing Western Australia Series 2 Ep 10 Part 2,""Ian is on the Great Escape in the Kimberley trying to catch Permit on fly"""
"Coral Trout Fishing Western Australia Series 2 Ep 10 Part 1,""Steve and Ian are at the Rowley Shoals catching Coral Trout"""
"Monster Queenies in the Kimberley Fishing Western Australia Series 2 Ep 8 Part 2,""Monster Queenies"""
"Swan River Flathead Fishing Western Australia Series 2 Ep 8 Part 1,""Steve tackles the swan river for flathead"""
"Amazing Coral Bay Fishing Western Australia Series 2 Ep 7 Part 2,""Amazing Coral Bay"""
"Amazing Coral Bay Fishing Western Australia Series 2 Ep 7 Part 1,""Amazing Coral Bay"""
"Deadly Sea Snake Broome Fishing Western Australia Series 2 Ep 6 Part 2,""Deadly Sea Snake Broome"""
"Kevin Bloody Wilson goes bream fishing, Fishing Western Australia Series 2 Ep 6 Part 1,""Kevin Bloody Wilson goes bream fishing with Steve , Ian and Pommy Dave."","""""
"Point Samson Spanish Mackerel Fishing Western Australia Series 2 Ep 5 Part 2,""Steve and Ian are in Point Samson getting into Spanish Mackerel"""
"Beach fishing for tailor Fishing Western Australia Series 2 Ep 5 Part 1,""Steve and Bruce teach how to read the beach for the best chance of catching a tailor"""
"Best of Fishing Western Australia Series 14,""Best of Fishing Western Australia Series 14"""
"Perth Black Bream Fishing Western Australia Series 14 Ep 17 full Show,""Ryan takes a trip down the swan river for some Black Bream action"""
"Perth Octopus Fishing Western Australia Series 14 Ep 16,""Ryan and Harry go out to catch octopus"""
"Perth Dhufish and Pink Snapper on Jigs Fishing Western Australia Series 14 Ep15,""Ryan heads out of Mindarie for some awesome reef fish on jigs"""
